,Topik 1,Topik 2,Topik 3,Total Proporsi Kata
aksara,0.02600750118764889,0.9469872112708144,0.027005287541536697,1.0
akseleromet,0.07910595725380605,0.04396253464123553,0.8769315081049585,1.0
aksesibilita,0.09814314510170202,0.35040952195812997,0.551447332940168,1.0
aksesnya,0.1871877526514052,0.6241690135216846,0.1886432338269102,1.0
aksesori,0.0465203827006494,0.6721871355845201,0.2812924817148305,1.0
aksi,0.8771379303514346,0.09434730631214933,0.028514763336416,1.0
aktif,0.7927435874662996,0.18727673210807047,0.019979680425629927,1.0
aktifita,0.29958539217053337,0.30255491690297837,0.3978596909264882,1.0
aktifitasnya,0.13364946640494116,0.08788920508157974,0.778461328513479,1.0
aktivasi,0.7932816519173354,0.07347670909452825,0.1332416389881364,1.0
aktivasigaussian,0.7932816519173354,0.07347670909452825,0.1332416389881364,1.0
aktivita,0.31376561796863184,0.37738142957444054,0.3088529524569277,1.0
aktor,0.9702223424188264,0.010599183308216421,0.019178474272957113,1.0
aktual,0.06905888251178806,0.7336810738108946,0.19726004367731728,1.0
aktualisasi,0.793281652085545,0.07347670905378448,0.13324163886067067,1.0000000000000002
akulturasi,0.793281651328461,0.0734767092358607,0.13324163943567843,1.0
akun,0.8755509452050269,0.044234617200192505,0.08021443759478053,0.9999999999999999
akunt,0.18718775271044769,0.6241690134054336,0.18864323388411872,1.0
akuntansi,0.09184753942587927,0.8156974013058117,0.092455059268309,1.0
akurasi,0.2861900547099248,0.23704922101260906,0.4767607242774663,1.0000000000000002
akurasinya,0.11789830595729192,0.4040966794828602,0.4780050145598479,1.0
akurasipengujian,0.1315374885572241,0.07310095965447806,0.7953615517882978,1.0
akurasiq,0.18718775185364553,0.624169015130185,0.18864323301616964,1.0000000000000002
akurat,0.3551317961605498,0.5488527071062923,0.09601549673315797,1.0
akuratan,0.18718775277279046,0.6241690132768516,0.18864323395035792,1.0
akusisi,0.1316293270513853,0.07401036789147726,0.7943603050571374,1.0
akut,0.8755509453701448,0.04423461716085403,0.0802144374690012,1.0
al,0.6235459689676716,0.34653050762753657,0.029923523404791857,1.0
alam,0.34781764967854006,0.3481251192331247,0.30405723108833516,1.0
alamat,0.0738469831374333,0.8525014094623945,0.07365160740017213,1.0
alami,0.4995701493146096,0.09740970119874999,0.4030201494866405,1.0
alaminya,0.13153748882259356,0.07310095973997184,0.7953615514374347,1.0
alarm,0.09345612446528627,0.8141576973362435,0.0923861781984702,1.0
alasan,0.5725464239120414,0.020175402259929993,0.40727817382802867,1.0
alasannnya,0.1315374889427883,0.07310095977783221,0.7953615512793794,0.9999999999999999
alat,0.05480491606049139,0.26797088088717314,0.6772242030523354,1.0
alatalat,0.12313842681258325,0.7527656816974465,0.12409589148997033,1.0
alatnya,0.13361677535197528,0.07310214048658648,0.7932810841614383,1.0
albab,0.7932816513777636,0.07347670922403073,0.13324163939820574,1.0
albopictu,0.7932816517060015,0.07347670914523649,0.1332416391487619,0.9999999999999999
alcohol,0.8755509452108505,0.044234617198366015,0.0802144375907835,1.0
aldousbrod,0.7932816513999079,0.07347670921862588,0.13324163938146621,1.0
alena,0.4581782799946667,0.031531242162039945,0.5102904778432933,1.0
alergi,0.1986244125270634,0.6137777488266288,0.18759783864630777,1.0
alert,0.7573769841742003,0.21516028568178644,0.027462730144013313,1.0
alfa,0.7924502682753535,0.0742320970682718,0.13331763465637464,1.0
alfabet,0.951796387235515,0.01706638686286115,0.031137225901623874,0.9999999999999999
alfabeti,0.13153748873539012,0.07310095971115159,0.7953615515534582,1.0
alfagram,0.04401596756375172,0.024461539485499867,0.9315224929507484,1.0
algorithm,0.9509851003133923,0.01728905741300252,0.03172584227360527,1.0000000000000002
algoritm,0.9305709959723013,0.024760502774662612,0.044668501253036036,0.9999999999999999
algoritma,0.6060411529558909,0.22655397228526872,0.16740487475884047,1.0
algoritmanya,0.12313842634685215,0.7527656826309709,0.12409589102217695,1.0
algortihm,0.793281651649378,0.07347670915793106,0.133241639192691,1.0
algortima,0.8755509446986335,0.04423461732086292,0.0802144379805037,1.0
alir,0.13153748847308472,0.07310095962844376,0.7953615518984715,1.0
aliran,0.5834352550789995,0.010703761514289424,0.4058609834067111,1.0
aliyah,0.0741634497036009,0.8521956488609221,0.07364090143547697,1.0
alkohol,0.9303852550323595,0.024939960080079943,0.04467478488756063,1.0
all,0.9259496095589587,0.06366390289374117,0.010386487547300066,0.9999999999999999
allidb,0.9301710907186543,0.024630029507905948,0.045198879773439816,1.0
allimin,0.148057882633122,0.08016658245645789,0.7717755349104202,1.0
allnegatif,0.9086937957610329,0.03164130369231083,0.05966490054665628,1.0
allpositif,0.908697692502541,0.03164130464428071,0.059661002853178255,0.9999999999999999
allupurinol,0.18718775352385358,0.6241690117664721,0.1886432347096743,1.0
allwhit,0.7929299314285011,0.07347650939148329,0.13359355918001548,0.9999999999999999
almadani,0.07910798568822139,0.04399518554148679,0.8768968287702918,1.0
alokasi,0.18718775210569422,0.6241690146143082,0.18864323327999763,1.0
alpha,0.04576853648338117,0.9084330794208116,0.04579838409580722,1.0
alphabet,0.875550945238479,0.04423461719192991,0.08021443756959099,0.9999999999999999
alphanumer,0.18718775446496325,0.6241690098756698,0.18864323565936691,1.0
alphanumerik,0.958265275770755,0.014794725266691582,0.026939998962553453,1.0
alqadarmodel,0.7932816515946941,0.0734767091717885,0.13324163923351742,1.0
alquran,0.9429725380607488,0.020457048103587543,0.03657041383566377,1.0
alqurâ,0.97271620578334,0.009772265302435912,0.017511528914224177,1.0
altern,0.05147458007681122,0.9017621792251764,0.04676324069801231,1.0
alternat,0.13246138588859518,0.08224964989768853,0.7852889642137164,1.0
alternatif,0.12359211650981615,0.7444645655599419,0.13194331793024192,1.0
alternatifalternatif,0.1322497708555523,0.08015418981485468,0.787596039329593,1.0
alternatifpada,0.18718775205346858,0.624169014724772,0.18864323322175935,1.0
alumni,0.025909022352139228,0.9480041732713688,0.026086804376492037,1.0
alumninya,0.13202742397150222,0.07795241567590651,0.7900201603525911,0.9999999999999999
alur,0.1229154199393655,0.7491758730104794,0.12790870705015506,1.0
aman,0.03384702251689649,0.7632215573255252,0.20293142015757842,1.0000000000000002
amanatkan,0.18718775357593156,0.6241690116626393,0.18864323476142908,0.9999999999999999
ambami,0.18718775208732977,0.6241690146567747,0.18864323325589544,0.9999999999999998
ambang,0.0360448595967738,0.02002105245366609,0.9439340879495601,1.0
ambigu,0.12309726146142903,0.7521030396604461,0.12479969887812492,1.0
ambil,0.763080617526022,0.07345956201517022,0.1634598204588077,0.9999999999999999
ambroxol,0.18718775245881744,0.6241690139104202,0.18864323363076227,1.0
ambunten,0.09174603295851677,0.8157945614326685,0.09245940560881465,0.9999999999999999
amen,0.18718775320643735,0.6241690124032572,0.18864323439030556,1.0
amerika,0.7932816516506278,0.07347670915841789,0.1332416391909545,1.0000000000000002
amil,0.05660543455444533,0.03243247185975708,0.9109620935857975,0.9999999999999999
aml,0.8749409944603027,0.044234408862702836,0.08082459667699436,0.9999999999999999
amplitudu,0.12188600006779675,0.7326049760745071,0.14550902385769618,1.0
an,0.9395347564940919,0.047858595148908986,0.012606648356999083,1.0
anak,0.978327662372917,0.015990802581756797,0.005681535045326091,0.9999999999999999
anakan,0.7932816516331991,0.07347670916284259,0.13324163920395823,0.9999999999999999
anakanak,0.9780265698809417,0.01614243232635747,0.005830997792700789,1.0
anakdalam,0.18718775330523438,0.6241690122211531,0.18864323447361248,1.0
anaknya,0.13361677535197528,0.07310214048658648,0.7932810841614383,1.0
anakus,0.7932816511307589,0.07347670928325456,0.13324163958598648,0.9999999999999999
anali,0.1231150031935571,0.7523886315868679,0.12449636521957501,0.9999999999999999
analisa,0.243783974847162,0.44315364104036103,0.313062384112477,1.0
analisi,0.15455937300441205,0.5627222600054399,0.2827183669901481,1.0
analit,0.059809021919344584,0.4712907282344804,0.4689002498461751,1.0000000000000002
analitik,0.9107473513070876,0.03186380899611558,0.057388839696796874,1.0000000000000002
analityc,0.03694736070270718,0.02139227020870321,0.9416603690885896,1.0
analsisi,0.7910656177656973,0.07549017974750419,0.1334442024867985,1.0
analysi,0.05857410906797657,0.1936195690027521,0.7478063219292713,1.0
analysissna,0.7932816518761558,0.0734767091043716,0.13324163901947267,1.0
analyt,0.007116280416841413,0.7667751644460734,0.22610855513708528,1.0
analyz,0.1871877521452414,0.624169014543577,0.18864323331118169,1.0
anatomi,0.9583735736368572,0.014794737628887236,0.026831688734255708,1.0000000000000002
anayit,0.13191283082191885,0.07681770735865517,0.791269461819426,1.0
ancaman,0.12277405238087728,0.7469002223954964,0.13032572522362632,0.9999999999999999
anchor,0.7902472231582917,0.07347498650992734,0.13627779033178097,1.0
ancillari,0.18718775320643735,0.6241690124032572,0.18864323439030556,1.0
and,0.1658484707132267,0.31546785578909753,0.5186836734976757,1.0
andharini,0.793281652085545,0.07347670905378448,0.13324163886067067,1.0000000000000002
android,0.7607665279938532,0.06732799149760849,0.17190548050853827,1.0
andromax,0.793281651443729,0.07347670920808322,0.1332416393481879,1.0
anggap,0.086948901932592,0.7088558208889617,0.2041952771784463,1.0
anggaran,0.022631998461598208,0.9545907351770747,0.022777266361327077,1.0
anggota,0.12189602106933731,0.8615401175216464,0.01656386140901631,1.0
anggotanya,0.8735863869007973,0.04608459904652573,0.08032901405267708,1.0
angin,0.875550945238479,0.04423461719192991,0.08021443756959099,0.9999999999999999
angina,0.18718775185364553,0.624169015130185,0.18864323301616964,1.0000000000000002
angka,0.6860868096997467,0.08504360872448508,0.2288695815757682,1.0
angkaangka,0.7169755423972737,0.21733808803990196,0.06568636956282456,1.0000000000000002
angkatan,0.6954555319862107,0.05229237799612331,0.2522520900176659,0.9999999999999999
angket,0.2400687218786558,0.6990863983734673,0.06084487974787692,1.0
angsuran,0.18718775304541246,0.6241690127260536,0.18864323422853396,1.0
angular,0.07674927764382693,0.024467763281508965,0.8987829590746641,1.0
animasi,0.7005798085066325,0.007150241356952741,0.2922699501364147,1.0
annidhomiyah,0.1871877530856722,0.624169012649086,0.1886432342652418,1.0
annular,0.13153748858309486,0.07310095966327955,0.7953615517536256,1.0
anonym,0.18718775259882145,0.624169013637118,0.1886432337640606,1.0
anotasi,0.11868586074954934,0.6810913922421908,0.20022274700825984,1.0
anp,0.0519400222461383,0.8937259757294193,0.05433400202444252,1.0
anpelectr,0.13544757581453512,0.11181991223239415,0.7527325119530707,1.0
answer,0.9109792277477498,0.03164186173145576,0.057378910520794545,1.0
ant,0.7891165364390552,0.07726109656994105,0.13362236699100383,1.0
antarfitur,0.7911819013943968,0.07538452502352852,0.1334335735820747,1.0
antarmuka,0.09632883034197996,0.3212039800935978,0.5824671895644222,1.0
anteced,0.1871877521455276,0.6241690145417707,0.18864323331270164,0.9999999999999999
anternatif,0.13169774500589213,0.07468785771246361,0.7936143972816444,1.0000000000000002
antisipasi,0.7883937675310793,0.07791780073101838,0.13368843173790235,1.0
antomi,0.7932816520074104,0.07347670907238986,0.13324163892019966,1.0
antri,0.1322918820832745,0.07310138810141247,0.7946067298153131,1.0
antrian,0.1698312136661154,0.34693650060592,0.4832322857279647,1.0
anual,0.18718775256629278,0.6241690136946779,0.18864323373902936,1.0
ap,0.04542460286235698,0.9087975945966159,0.045777802541027146,1.0
apach,0.07308873733594935,0.8526622710238341,0.07424899164021662,1.0
apapun,0.37732270588275124,0.5590415129654971,0.06363578115175147,0.9999999999999999
aparat,0.12313842653680555,0.7527656822492692,0.12409589121392506,0.9999999999999998
aparatur,0.7925685128806577,0.07412466177448764,0.13330682534485458,0.9999999999999999
api,0.6923025884869918,0.29321532751581325,0.014482083997194929,1.0
apk,0.9081671734393888,0.03404408363785154,0.05778874292275976,1.0
apl,0.07924201961688702,0.046152746412569896,0.874605233970543,1.0
aplic,0.7932816518027831,0.07347670912146174,0.13324163907575504,0.9999999999999999
aplikai,0.18718775158107542,0.6241690156812044,0.18864323273772016,1.0
aplikasi,0.4607652315298087,0.33725418004102636,0.20198058842916494,1.0
aplikasiaplikasi,0.3460986750017615,0.5723335857225547,0.0815677392756838,1.0
aplikasidalam,0.7882691282128912,0.07803104517760315,0.13369982660950572,1.0
aplikasinya,0.8755509452980362,0.044234617177762975,0.08021443752420075,1.0
aplikasisalah,0.13239101884780521,0.08155285642731132,0.7860561247248835,1.0
apm,0.9081671734393888,0.03404408363785154,0.05778874292275976,1.0
apotek,0.022711848657738995,0.8131356326241428,0.16415251871811812,0.9999999999999999
apotik,0.1368114216137143,0.07755283411763635,0.7856357442686495,1.0
app,0.18718775158107542,0.6241690156812044,0.18864323273772016,1.0
appear,0.13153748831442685,0.07310095957693406,0.7953615521086391,1.0
applic,0.434724878467358,0.0999049521719608,0.46537016936068115,1.0
applikasi,0.15381294610600704,0.07311360859190517,0.7730734453020878,1.0
apprentic,0.20596091016821,0.6071118627050066,0.18692722712678342,1.0
approxim,0.8751326977514412,0.0446284714240255,0.08023883082453337,1.0
apresiasi,0.8701062119868226,0.04936180557402953,0.0805319824391478,0.9999999999999999
apriliana,0.793281652085545,0.07347670905378448,0.13324163886067067,1.0000000000000002
apriori,0.045424603033630065,0.9087975942521053,0.0457778027142646,0.9999999999999999
ar,0.163716406052877,0.005965941404936482,0.8303176525421866,1.0
arab,0.9215389518816033,0.06025117004938294,0.018209878069013755,1.0
arah,0.3294808003288146,0.040777232537609356,0.629741967133576,1.0
arahan,0.1320041789439145,0.07772225249863174,0.7902735685574539,1.0000000000000002
arcad,0.13299019259977923,0.07310178453782934,0.7939080228623914,1.0
architectur,0.5504501293739782,0.008217259000258104,0.44133261162576365,1.0
architecturecentr,0.7879970114106664,0.07827828745224653,0.13372470113708712,1.0
architectureuntuk,0.13153748832286097,0.07310095957997488,0.7953615520971642,1.0
arduino,0.7225222294993391,0.10505401989653526,0.17242375060412568,1.0
area,0.14844576200335788,0.07792823349145547,0.7736260045051866,1.0
areabas,0.13153748876565322,0.07310095972233234,0.7953615515120144,1.0
areal,0.18718775256413778,0.6241690136591109,0.1886432337767513,1.0
ari,0.929167059398775,0.025428545180783323,0.04540439542044168,1.0
arial,0.7932816518170921,0.07347670911769104,0.13324163906521674,0.9999999999999998
arifin,0.13196195959182214,0.07730419189649577,0.7907338485116822,1.0
arima,0.07924625878601183,0.046220976246990404,0.8745327649669978,1.0
arini,0.18718775352385358,0.6241690117664721,0.1886432347096743,1.0
aritmatika,0.6400898146834553,0.0449964856641203,0.3149136996524245,1.0
arosbaya,0.951954736732225,0.017096535113398377,0.030948728154376694,1.0
around,0.7871564616863901,0.0766193873031557,0.13622415101045424,1.0
arous,0.13005602197632085,0.7456749095024776,0.1242690685212015,0.9999999999999999
arq,0.18718775229272736,0.624169014213887,0.18864323349338558,1.0
array,0.18718775236408866,0.6241690141035859,0.18864323353232537,1.0
arrhytmia,0.0618998513851487,0.8766943424341145,0.06140580618073664,0.9999999999999999
arsip,0.07333065780327445,0.8530002673526521,0.07366907484407341,0.9999999999999999
arsitek,0.1315374883055791,0.07310095957463657,0.7953615521197844,1.0
arsitektur,0.031255019368089866,0.09990605027904802,0.8688389303528622,1.0
art,0.4936165242533918,0.46434401309629303,0.04203946265031511,1.0
arti,0.3474126813564568,0.5185786929480635,0.13400862569547967,0.9999999999999999
artif,0.47607304273066275,0.04411783641732966,0.4798091208520075,1.0
artifak,0.01469099130913838,0.008164406790387666,0.9771446019004739,1.0
artifici,0.9110101265482464,0.06434026328146544,0.024649610170288147,1.0
artikel,0.502372427654002,0.4612018726696795,0.03642569967631851,1.0
aru,0.09173849942325751,0.8156266175923047,0.09263488298443776,1.0
as,0.8568917394974515,0.10989463749949933,0.033213623003049336,1.0000000000000002
asafa,0.18718775479643635,0.6241690091958408,0.18864323600772281,1.0
asc,0.060764129090277175,0.8779992694257978,0.061236601483925124,1.0
asdjnlmlkbgxdfxgvvnmmjkghjbnbnjbhbkjnhhghghjgfhghgvhgvhkbhjghjghjghasdjnlmlkbgxdfxgvvnmmjkghjbnbnjbhbkjnhhghghjgfhghgvhgvhkbhjghjghjghasdjnlmlkbgxdfxgvvnmmjkghjbnbnjbhbkjnhhghghjgfhghgvhgvhkbhjghjghjghasdjnlmlkbgxdfxgvvnmmjkghjbnbnjbhbkjnhhghghjgfhghgvhgvhkbhjghjghjghasdjnlmlkbgxdfxgvvnmmjkghjbnbnjbhbkjnhhghghjgfhghgvhgvhkbhjghjghjghasdjnlmlkbgxdfxgvvnmmjkghjbnbnjbhbkjnhhghghjgfhghgvhgvhkbhjghjghjghasdjnlmlkbgxdfxgvvnmmjkghjbnbnjbhbkjnhhghghjgfhghgvhgvhkbhjghjghjghasdjnlmlkbgxdfxgvvnmmjkghjbnbnjbhbkjnhhghghjgfhghgvhgvhkbhjghjghjghasdjnlmlkbgxdfxgvvnmmjkghjbnbnjbhbkjnhhghghjgfhghgvhgvhkbhjghjghjgh,0.7932813752607238,0.0734767755887791,0.1332418491504971,1.0
ase,0.6982222630887959,0.2642873971345399,0.0374903397766641,0.9999999999999999
asesori,0.09174603343314125,0.8157945604765822,0.09245940609027659,1.0
aset,0.01806377652037161,0.9637173269691137,0.018218896510514684,1.0
asi,0.02584862751879316,0.9481017585730467,0.026049613908160147,1.0
asia,0.8746381675551718,0.04509416004999438,0.08026767239483384,1.0
asimetri,0.0792783690965645,0.04483718410506324,0.8758844467983723,1.0
asimilasi,0.793281651328461,0.0734767092358607,0.13324163943567843,1.0
asisten,0.04933592065470625,0.9049674594011234,0.04569661994417036,1.0
asli,0.05201167665893409,0.39113334785264,0.556854975488426,1.0
aslinya,0.714097256304281,0.1540777205467632,0.1318250231489559,1.0
asma,0.8755509450037909,0.044234617248392984,0.08021443774781607,1.0
asmail,0.12313842597662085,0.7527656833781083,0.12409589064527088,1.0
asmart,0.08169312342456925,0.04614396198157958,0.8721629145938512,1.0
asmaul,0.9306770122492373,0.02465807326295433,0.04466491448780835,1.0
asosiasi,0.1871877523860656,0.6241690140582491,0.18864323355568527,0.9999999999999999
asosiatif,0.7932816513777636,0.07347670922403073,0.13324163939820574,1.0
aspal,0.07911422898048899,0.0440956812710155,0.8767900897484955,1.0
aspek,0.4145924352890349,0.4530101638457244,0.13239740086524077,1.0
aspekaspek,0.12359323456103985,0.7523373991823952,0.1240693662565651,1.0000000000000002
aspirasi,0.1871877543136777,0.6241690101815548,0.18864323550476747,1.0
asrama,0.016460694137012646,0.966996073181452,0.016543232681535375,1.0
asset,0.016054409307787544,0.008843671806359815,0.9751019188858527,1.0
assimilasi,0.20596072402917173,0.6071120318295223,0.18692724414130601,1.0
associ,0.03072433858571285,0.938863635454244,0.030412025960043127,1.0
assosi,0.12313842729429356,0.7527656807206519,0.12409589198505457,1.0
